country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,West_Bengal,Howrah,"Dasnagar, Howrah - WBPCB",26-04-2025 18:00:00,22.6025571,88.3105664,SO2,3,3,3
India,West_Bengal,Howrah,"Ghusuri, Howrah - WBPCB",26-04-2025 18:00:00,22.611968,88.347422,NO2,21,27,23
India,West_Bengal,Kolkata,"Ballygunge, Kolkata - WBPCB",26-04-2025 18:00:00,22.5367507,88.3638022,NO2,13,21,15
India,West_Bengal,Kolkata,"Ballygunge, Kolkata - WBPCB",26-04-2025 18:00:00,22.5367507,88.3638022,SO2,1,15,4
India,West_Bengal,Kolkata,"Rabindra Bharati University, Kolkata - WBPCB",26-04-2025 18:00:00,22.627847,88.380669,NO2,24,32,28
India,West_Bengal,Kolkata,"Rabindra Sarobar, Kolkata - WBPCB",26-04-2025 18:00:00,22.51106,88.35142,PM2.5,13,35,23
India,West_Bengal,Kolkata,"Victoria, Kolkata - WBPCB",26-04-2025 18:00:00,22.5448082,88.3403691,PM10,54,81,63
India,West_Bengal,Kolkata,"Victoria, Kolkata - WBPCB",26-04-2025 18:00:00,22.5448082,88.3403691,NO2,24,26,25
India,West_Bengal,Kolkata,"Victoria, Kolkata - WBPCB",26-04-2025 18:00:00,22.5448082,88.3403691,CO,8,18,15
India,West_Bengal,Siliguri,"Ward-32 Bapupara, Siliguri - WBPCB",26-04-2025 18:00:00,26.6879226,88.4152495,PM10,81,127,105
India,West_Bengal,Siliguri,"Ward-32 Bapupara, Siliguri - WBPCB",26-04-2025 18:00:00,26.6879226,88.4152495,CO,29,80,32
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB",26-04-2025 18:00:00,25.5626095,84.663264,PM10,NA,NA,NA
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB",26-04-2025 18:00:00,25.5626095,84.663264,NH3,1,2,1
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB",26-04-2025 18:00:00,25.5626095,84.663264,CO,13,30,20
